Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Colombia,COL,6.042038478,2.277231497,5.032677497,2.365650574,5.835811494,5.202437593,2.055854712,3.430293678,0.56978409,-4.204015244,4.419993,1.677898308,2.503980465,3.918271904,5.333022067,4.706555934,6.697515258,6.900627655,3.546804886,1.651549245,3.971800705,6.589511516,4.043943806,4.874065579,4.39360834
Comoros,COM,5.091392685,-5.395598907,8.530923433,3.005937478,-5.276682038,3.610129478,-1.291668436,4.030340669,1.282662475,1.924123666,10.84807495,2.332936494,2.324779259,2.104101953,1.919602379,2.837407764,2.646899868,0.800152799,0.400266855,1.949999978,2.199999982,2.600000088,2.999999972,3.499999994,2.061639469
Cabo Verde,CPV,0.692171874,1.404146852,10.93764724,8.708311376,19.18264182,14.21163626,11.34652473,11.11842604,12.51728567,11.22264853,14.28486883,2.231654493,5.250891246,4.176259302,10.19707261,6.912457988,7.983750447,15.170688,6.65052049,-1.270425968,1.466790097,3.968886345,1.081918312,0.802797545,0.611212683
Costa Rica,CRI,3.904917795,2.571919975,9.196560573,7.087517585,4.48726748,4.121496228,1.237816293,5.564945334,6.96170009,3.943353886,3.73453301,3.490469432,3.291753197,4.255476254,4.336575111,3.870873066,7.237732806,8.167896116,4.649598462,-0.970548313,4.951863844,4.30710166,4.796919919,2.2690274,3.656803633
Caribbean small states,CSS,1.351897126,1.538591773,-0.178023944,2.826976718,2.673763136,3.056470002,3.335748261,3.094673558,2.886581299,4.014945454,3.645972506,2.031531828,3.813324749,6.073657027,4.21148182,3.720761461,6.849318159,3.22543126,1.420686652,-3.524505971,1.424573755,1.07646943,1.254539681,1.648740801,0.459584512
Cuba,CUB,-2.948564945,-10.69269725,-11.5806029,-14.87818062,0.716930038,2.457201143,7.838749977,2.78342506,0.15914605,6.188755307,5.914760019,3.185029904,1.424821261,3.792740223,5.77053807,11.20165656,12.06586298,7.262136966,4.116828042,1.451305431,2.390352297,2.802300836,3.014900289,2.747602563,1.047576632
Cayman Islands,CYM,,,,,5.305202786,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,7.403999506,0.739501448,9.399998832,0.700000292,5.899998774,8.468188508,1.333013436,2.56560816,5.23555375,4.828548364,5.724401738,3.60066503,3.399104373,2.475869511,4.570303485,3.724317726,4.51018332,4.820710541,3.863966058,-1.772450751,1.317777804,0.321196,-3.157777674,-5.95274791,-1.531451634
Czech Republic,CZE,,-11.61494236,-0.506542349,0.061904248,2.909309465,6.221406001,4.282799044,-0.674271248,-0.316032669,1.438050224,4.294136059,3.051521283,1.64694964,3.601842545,4.947456257,6.4422623,6.87654427,5.529266339,2.710955571,-4.841785296,2.295089687,2.004704006,-0.799844281,-0.483671041,2.715116132
Germany,DEU,5.255006086,5.108261508,1.923807011,-0.956165307,2.45737182,1.737640631,0.817897617,1.84920067,1.979618407,1.987134949,2.962045368,1.695471452,0,-0.709906172,1.169970413,0.706713948,3.700159572,3.260535297,1.082315404,-5.618860435,4.079933305,3.660000155,0.491992829,0.489584482,1.595338098
Djibouti,DJI,,-4.27761666,-0.017966978,-6.620881242,-0.937342557,-3.488261164,-4.115498865,-0.745872137,0.099378566,2.179006178,0.416213954,2.047764413,2.61856229,3.199959365,3.8264761,3.169601169,4.799864683,5.100061387,5.799962619,5.032627058,3.486917489,4.467514526,4.842379573,4.999907255,6.000194324
Dominica,DMA,5.254898279,0.607930897,2.047356934,1.680944019,1.431325265,1.974719115,2.641783027,1.490817886,4.978087155,0.683294802,0.375310954,0.473103034,-1.753160254,7.687213049,3.250144236,-0.088242377,2.9296875,6.321005693,7.120741901,-1.169757154,0.672542759,-0.231011331,-1.069790405,0.770640683,4.186963091
Denmark,DNK,1.475244726,1.393656029,1.957011566,0.010659428,5.332448645,3.027634073,2.900068335,3.260879794,2.218161888,2.948007099,3.746900212,0.8231493,0.466344928,0.390073865,2.668193459,2.336664491,3.912980152,0.909252996,-0.512025222,-4.906525558,1.870992639,1.336774667,0.226468476,0.933349282,1.67593432
Dominican Republic,DOM,-5.454312395,0.944138889,10.51318199,7.222621361,2.303256396,5.493629299,7.131367357,8.004274432,7.010597728,6.715354091,5.656604877,1.809229488,5.788207316,-0.25335881,1.31195822,9.262750074,10.67115484,8.710414118,3.209504262,0.946155168,8.317067728,3.101917311,2.793910372,4.742064192,7.608964836
Algeria,DZA,0.80000058,-1.200000584,1.800002301,-2.100000759,-0.899996549,3.79999479,4.09999847,1.099999938,5.100003611,3.200001551,3.819678496,3.008395466,5.60932319,7.201872244,4.301624264,5.907791268,1.684488319,3.372875154,2.360134861,1.632243838,3.634145353,2.891865995,3.374768651,2.767638867,3.789121212
Ecuador,ECU,3.679914053,4.291342398,2.114310675,1.973218079,4.258250468,2.252548774,1.731747514,4.327864764,3.266529404,-4.739385791,1.091801564,4.0156299,4.096776659,2.722877337,8.211020917,5.291308267,4.403526434,2.190063972,6.3571306,0.566491592,3.525298669,7.868140919,5.641962067,4.946511267,3.992708509
"Egypt, Arab Rep.",EGY,5.70174926,1.078837266,4.431994172,2.900786557,3.973172322,4.642466699,4.98873054,5.491123819,4.036373365,6.105463321,5.367997672,3.53525197,2.370460092,3.19228475,4.0899404,4.478960164,6.853907786,7.090271001,7.157616776,4.673844855,5.14510637,1.779594033,2.215608782,2.185466054,2.91591188
Eritrea,ERI,,,,13.45476252,21.22141136,2.858379037,9.258838371,7.908684909,1.772582792,0.013480241,-3.141985774,8.75543519,3.005429218,-2.655515842,1.451735534,2.57444953,-0.969216929,1.42682206,-9.783030037,3.87650156,2.194190545,8.679799936,,,
Spain,ESP,3.781393447,2.546000579,0.929215423,-1.031491774,2.383195323,2.757494028,2.674639067,3.689613998,4.305978447,4.484901183,5.289093179,4.001069225,2.879762121,3.187571476,3.166746501,3.723102943,4.174119116,3.768895263,1.115972755,-3.57381203,0.013786544,-1.000080488,-2.929811429,-1.705894868,1.378998287
Estonia,EST,,,,,,,5.323844874,11.79861872,4.117257751,-0.856448276,10.56807495,6.328710504,6.076394702,7.416163365,6.294746225,9.373711454,10.27188409,7.748192368,-5.41945589,-14.72440391,2.259075894,7.597300209,4.307258988,1.41521431,2.822906967
Ethiopia,ETH,2.726451783,-7.137479708,-8.672480128,13.14283396,3.18996457,6.127511412,12.42617378,3.133906867,-3.458139148,5.162145824,6.073217492,8.301306322,1.514725693,-2.161359721,13.57260315,11.81876594,10.83472707,11.456167,10.78852168,8.802553202,12.55053834,11.17829624,8.647811635,10.58227004,10.25749296
Finland,FIN,0.675783494,-5.914425874,-3.32462938,-0.734493304,3.93926095,4.207130673,3.658833063,6.251807841,5.428512567,4.444134273,5.634847452,2.580792075,1.680325089,1.993984087,3.926057175,2.779955031,4.055197444,5.184800809,0.720668487,-8.269036558,2.992337502,2.570817745,-1.42618936,-0.758036295,-0.631728091
Fiji,FJI,5.800002719,-2.700002821,6.100001394,2.130031625,5.100000159,2.499998538,4.800000929,-2.200000762,1.300001962,8.799998029,-1.69999854,1.999999468,3.200000514,0.999998468,5.300000292,0.700000383,1.852483092,-0.850653535,1.032794215,-1.386037485,2.954672074,2.705142971,1.883476699,6.080493782,5.446469358
France,FRA,2.914009701,1.039105331,1.599671214,-0.612652833,2.345385593,2.085084537,1.388004028,2.337333404,3.556201252,3.407099149,3.875162259,1.954449425,1.118456892,0.81953167,2.786424111,1.607713814,2.3749469,2.361498873,0.195294766,-2.941341055,1.965657375,2.079229175,0.182693034,0.576241547,0.947586471
